Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,degraded,8545,0,10,10.193676786942937,5.407000004197471,43.167334006284364,219.88355763604446,71.69055209733594,0.0,10,10,11,12,13,15,18,21,37,43,43
,Aggregated,8545,0,10,10.193676786942937,5.407000004197471,43.167334006284364,219.88355763604446,71.69055209733594,0.0,10,10,11,12,13,15,18,21,37,43,43
