Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,load,8607,0,10,10.319783941080471,5.38237500586547,71.87129200610798,238.88950853956084,72.20212190714594,0.0,10,11,11,12,13,15,18,22,43,72,72
,Aggregated,8607,0,10,10.319783941080471,5.38237500586547,71.87129200610798,238.88950853956084,72.20212190714594,0.0,10,11,11,12,13,15,18,22,43,72,72
