Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,happy,8536,0,10,10.803113245252877,5.517042009159923,46.254625005531125,238.88788659793815,71.62025744363633,0.0,10,11,12,12,14,16,19,23,38,46,46
,Aggregated,8536,0,10,10.803113245252877,5.517042009159923,46.254625005531125,238.88788659793815,71.62025744363633,0.0,10,11,12,12,14,16,19,23,38,46,46
